gene_id,snp_density,expression_level,log_expression
AT1G01010,0.03983353151010702,11.512727272727274,1.0973519787906676
AT1G01020,0.05285810356422327,13.325454545454544,1.1561084109850333
AT1G03987,0.04428044280442804,1.0,0.3010299956639812
AT1G01030,0.040417558886509636,3.97962962962963,0.6971970424003331
AT1G01040,0.032609592999256996,12.518181818181818,1.1309182833637292
AT1G01050,0.03527435610302351,88.01818181818182,1.949478719643261
AT1G03997,0.05673758865248227,0.3,0.11394335230683679
AT1G01060,0.03895799108190565,45.78727272727273,1.670127730509204
AT1G01070,0.04885057471264368,7.768518518518518,0.9429262235163237
AT1G04003,0.08173076923076923,0.3,0.11394335230683679
AT1G01080,0.0578980490874764,65.77777777777777,1.8246319625634146
AT1G01090,0.05652403592181722,175.78181818181818,2.2474375962576287
AT1G01100,0.09133673069384556,501.9218181818182,2.7015004769620057
AT1G01110,0.05255544840887175,5.3537037037037045,0.8030269582332049
AT1G01120,0.04144319843978547,81.01851851851852,1.9139119204617903
AT1G01130,0.06182795698924731,9.77777777777778,1.03252922482692
AT1G01140,0.03872832369942197,58.70909090909091,1.7760404589531593
AT1G01150,0.06161643104827954,0.3333333333333333,0.12493873660829993
AT1G01160,0.05409153952843273,39.87636363636364,1.6114722539831978
AT1G04007,0.06277056277056277,3.147058823529412,0.6177401956131248
AT1G01170,0.06126482213438735,85.75925925925925,1.9383158354008285
AT1G04013,0.07661290322580645,2.6977777777777776,0.5679408081793614
AT1G01180,0.10790378006872853,13.056363636363637,1.1478729837763233
AT1G01190,0.05245901639344262,5.68,0.8247764624755457
AT1G01200,0.05975103734439834,3.009259259259259,0.6030641408664158
AT1G01210,0.06417624521072797,14.872727272727271,1.2006515542113259
AT1G01220,0.036274070756829375,14.25925925925926,1.1835334518741474
AT1G01225,0.04279069767441861,5.648148148148148,0.8227006887553506
AT1G01230,0.049255441008018326,46.74545454545454,1.6789320322592167
AT1G01240,0.0477670349907919,21.91090909090909,1.360042322071645
AT1G01250,0.03932584269662921,6.602083333333333,0.8809326259890611
